molecule_chembl_id,bioactivity_class,pIC50,canonical_smiles,MW,LogP,NumHDonors,NumHAcceptors
CHEMBL5441611,inactive,3.905266906246218,Brc1ccc(-n2nnnc2Sc2ncnc3[nH]ccc23)cc1,374.22700000000003,2.8472999999999997,1.0,7.0
CHEMBL5555689,active,7.698970004336019,C#CC(=O)N(c1ccc(-c2ccccc2)cc1)[C@@H](C(=O)N[C@@H](C)c1ccccc1)c1cccnc1,459.54900000000015,5.333500000000004,1.0,3.0
CHEMBL5633085,active,7.301029995663981,C#CC(=O)N(c1ccc(-c2ccccc2)cc1)[C@H](C(=O)N[C@@H](C)c1ccccc1)c1cccnc1,459.54900000000015,5.333500000000004,1.0,3.0
CHEMBL5196343,active,7.008773924307505,C#CC(=O)NNC(=O)CCc1ccccc1C(=O)N[C@H](C)c1cccc2ccccc12,413.4770000000001,3.0440000000000005,3.0,3.0
CHEMBL5633686,inactive,4.698970004336019,C#CCCC(=O)N(c1ccc(-c2ccccc2)cc1)C(C(=O)N[C@@H](C)c1ccccc1)c1cccnc1,487.6030000000002,6.113700000000006,1.0,3.0
CHEMBL5574162,inactive,4.698970004336019,C#CCCC(=O)NCCOc1ccc(C)c(C(=O)N[C@H](C)c2cccc3ccccc23)c1,428.5320000000001,4.547620000000004,2.0,3.0
CHEMBL5631311,inactive,4.698970004336019,C#CCN(c1ccc(-c2ccccc2)cc1)C(C(=O)N[C@@H](C)c1ccccc1)c1cccnc1,445.5660000000001,5.806900000000005,1.0,3.0
CHEMBL6031391,active,7.0,C#C[C@@H]1C[C@@]2(CN1C(=O)[C@H](CC(C)C)N(C)C(=O)c1cc3c(OC)cccc3[nH]1)C(=O)N(C)c1ccccc12,526.6370000000003,3.811700000000002,1.0,4.0
CHEMBL5401763,inactive,4.455931955649724,C#C[C@H](CCC(N)=O)NC(=O)[C@H](CC(C)C)NC(=O)OCc1ccccc1,373.45300000000015,1.7109999999999994,3.0,4.0
CHEMBL5407849,inactive,4.657577319177793,C#C[C@H](CCC(N)=O)NC(=O)[C@H](CC(C)C)NC(=O)c1cc2c(OC)cccc2[nH]1,412.4900000000002,1.704499999999999,4.0,4.0
CHEMBL5435659,inactive,4.924453038607469,C#C[C@H](CCSC)NC(=O)[C@@H]1[C@@H]2[C@H](CN1C(=O)[C@@H](NC(=O)C(F)(F)F)C(C)(C)C)C2(C)C,475.5770000000002,2.4337,2.0,4.0
CHEMBL5401883,active,6.628932137728263,C#C[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@@H]1[C@@H]2[C@H](CN1C(=O)[C@@H](NC(=O)C(F)(F)F)C(C)(C)C)C2(C)C,498.5460000000003,1.2068000000000019,3.0,4.0
CHEMBL5174083,inactive,4.124880834537432,C#Cc1ccc2c(ccc3[n+]2C(OC)C[Se]3)c1,289.21599999999995,1.0149999999999997,0.0,1.0
CHEMBL5631923,inactive,4.698970004336019,C/C=C(\C)C(=O)N(c1ccc(-c2ccccc2)cc1)C(C(=O)N[C@@H](C)c1ccccc1)c1cccnc1,489.6190000000002,6.666500000000006,1.0,3.0
CHEMBL5284419,inactive,3.602077363454683,C/C=C/C(=O)NCc1nc(-c2ccc(C(F)(F)F)cc2)no1,311.263,2.947700000000001,1.0,4.0
CHEMBL1188627,active,6.008773924307505,C/N=c1/nc(-c2ccccc2)n(-c2ccccc2)s1,267.357,3.1313000000000013,0.0,4.0
CHEMBL162755,active,6.866461091629782,C/N=c1\nc(-c2ccc(Cl)cc2)n(-c2ccccc2)s1,301.802,3.7847000000000017,0.0,4.0
CHEMBL5423593,active,6.548213564475709,C/N=c1\nc(-c2ccc(F)cc2)n(-c2ccccc2)s1,285.347,3.270400000000002,0.0,4.0
CHEMBL5430129,active,6.598599459218455,C/N=c1\nc(-c2ccc(OC)c(OC)c2)n(-c2ccc(F)cc2)s1,345.399,3.287600000000002,0.0,6.0
CHEMBL5408402,active,6.235077015350112,C/N=c1\nc(-c2ccc(OC)cc2)n(-c2cc(F)c(F)c(F)c2)s1,351.353,3.5572000000000026,0.0,5.0
CHEMBL5441037,active,6.428291168191312,C/N=c1\nc(-c2ccc(OC)cc2)n(-c2ccc(F)cc2)s1,315.373,3.2790000000000017,0.0,5.0
CHEMBL351694,active,6.782516055786093,C/N=c1\nc(-c2ccc(OC)cc2)n(-c2ccccc2)s1,297.383,3.1399000000000017,0.0,5.0
CHEMBL5418476,active,6.906578314837765,C/N=c1\nc(-c2ccccc2)n(-c2ccc(F)cc2)s1,285.347,3.2704000000000013,0.0,4.0
CHEMBL161867,active,6.5951662833800615,C/N=c1\nc(-c2ccccc2)n(-c2ccccc2)s1,267.357,3.1313000000000013,0.0,4.0
CHEMBL5631724,inactive,4.698970004336019,C=C(C(=O)N(c1ccc(-c2ccccc2)cc1)C(C(=O)N[C@@H](C)c1ccccc1)c1cccnc1)c1ccccc1,537.6630000000002,7.413700000000007,1.0,3.0
CHEMBL5632110,inactive,4.698970004336019,C=C(C)C(=O)N(c1ccc(-c2ccccc2)cc1)C(C(=O)N[C@@H](C)c1ccccc1)c1cccnc1,475.59200000000016,6.276400000000006,1.0,3.0
CHEMBL1718454,inactive,4.795880017344075,C=C(C)C(Cc1c(OC)ccc(C(=O)/C=C/c2ccc(O)cc2)c1O)OO,370.40100000000007,3.9793000000000034,3.0,6.0
CHEMBL5178875,active,7.958607314841775,C=C(C)C[C@H](NC(=O)[C@@H](NC(=O)OCc1ccccc1)C(C)C)C(=O)N[C@H](C=O)C[C@@H]1CCNC1=O,500.59600000000023,1.598300000000001,4.0,6.0
CHEMBL269277,inactive,5.0,C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,456.7110000000003,7.089500000000009,2.0,2.0
CHEMBL5425227,inactive,4.508638306165727,C=C(Cl)COC(=O)c1cnc2[nH]ccc2c1,236.65800000000002,2.4722,1.0,3.0
CHEMBL5633236,inactive,4.698970004336019,C=C(F)C(=O)N(c1ccc(-c2ccccc2)cc1)C(C(=O)N[C@@H](C)c1ccccc1)c1cccnc1,479.5550000000002,6.183500000000006,1.0,3.0
CHEMBL5631556,inactive,4.698970004336019,C=C(NC(C)=O)C(=O)N(c1ccc(-c2ccccc2)cc1)C(C(=O)N[C@@H](C)c1ccccc1)c1cccnc1,518.6170000000002,5.350100000000005,2.0,4.0
CHEMBL186141,inactive,4.823908740944319,C=C1CC[C@@H]2[C@](C)(CO)[C@H](O)CC[C@@]2(C)[C@@H]1C/C=C1/C(=O)OC[C@H]1O,350.4550000000001,1.9625999999999997,3.0,5.0
CHEMBL5405564,inactive,4.4089353929735005,C=CC(=O)N(C)c1ccc(C(=O)Nc2ccc(-c3cn4ccsc4n3)cc2)cc1,402.47900000000004,4.463900000000003,1.0,5.0
CHEMBL5566750,active,7.468521082957745,C=CC(=O)N(CCC(N)=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](NC(=O)OCc1ccccc1)[C@@H](C)OC(C)(C)C,561.6800000000002,1.9371000000000034,4.0,7.0
CHEMBL5632601,inactive,4.698970004336019,C=CC(=O)N(c1ccc(-c2ccccc2)cc1)C(C(=O)N[C@@H](C)c1ccccc1)c1cccnc1,461.56500000000017,5.886300000000006,1.0,3.0
CHEMBL5288729,inactive,4.063888568325146,C=CC(=O)N(c1ccc(C(C)(C)C)cc1)[C@@H](C(=O)NCCc1cccc(F)c1)c1cccnc1,459.56500000000017,5.137400000000004,1.0,3.0
CHEMBL5436990,inactive,4.494850021680094,C=CC(=O)NCCC(=O)N1CCC(C2C(=O)Nc3cc(Cl)ccc32)CC1,375.85600000000017,2.3065999999999995,2.0,3.0
CHEMBL5575599,inactive,4.522878745280337,C=CC(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NCc1ccccc1,460.5780000000002,3.2285000000000004,4.0,3.0
CHEMBL5566215,inactive,4.522878745280337,C=CC(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NCc1ccccc1,494.5950000000002,3.4251000000000005,4.0,3.0
CHEMBL5750023,active,7.0,C=CCN(C(=O)OCc1ccccc1)[C@@H](CC(C)C)C(=O)N1C[C@]2(CC1C#N)C(=O)Nc1ccccc12,500.59900000000033,4.240480000000003,1.0,5.0
CHEMBL5777609,active,7.0,C=CCN(C(=O)OCc1ccccc1)[C@@H](CC(C)C)C(=O)N1C[C@]2(C[C@H]1C#N)C(=O)Nc1ccccc12,500.59900000000033,4.240480000000003,1.0,5.0
CHEMBL5436617,inactive,3.7166987712964503,C=CCOC(=O)C1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](Cc3ccccc3)NC(=O)c3cc4ccccc4[nH]3)CN2C1,557.563,1.1345000000000016,4.0,7.0
CHEMBL1448440,active,6.096910013008056,C=CCSc1nc2sc3c(c2c(=O)n1CC)CCc1ccccc1-3,354.5000000000001,4.521600000000004,0.0,5.0
CHEMBL5563602,inactive,4.522878745280337,C=CC[C@H](NC(=O)CCl)C(=O)N[C@@H](CC=C)C(=O)N[C@H](CNCc1ccccc1)Cc1c[nH]c2ccccc12,550.1030000000002,3.345600000000003,5.0,4.0
CHEMBL5569237,inactive,4.522878745280337,C=CC[C@H](NC(=O)CCl)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NCCN1CCOCC1,490.00400000000036,0.9433000000000007,4.0,5.0
CHEMBL1595621,active,7.337242168318426,C=CCn1c(S)nnc1CSc1ccccc1[N+](=O)[O-],308.38800000000003,2.9533000000000014,1.0,7.0
CHEMBL5441770,inactive,4.002176919254275,C=CCn1c(Sc2ncnc3[nH]ccc23)nc2sccc2c1=O,341.4210000000001,3.0665000000000013,1.0,7.0
CHEMBL5186196,inactive,4.0,C=CCn1cnc2c(-c3cccc4c3CC(COC(C)=O)c3c(C)ccc(O)c3-4)ncnc21,440.50300000000016,4.563120000000005,1.0,7.0
CHEMBL2391913,active,6.200659450546418,C=CCn1sc2ccccc2c1=O,191.25499999999997,2.2489999999999997,0.0,3.0
CHEMBL5523475,active,6.508638306165727,C=CS(=O)(=O)N(c1ccc(-c2ccccc2)cc1)[C@@H](C(=O)N[C@@H](C)c1ccccc1)c1cccnc1,497.6200000000002,5.647000000000005,1.0,4.0
CHEMBL5076981,active,6.376750709602099,C=CS(=O)(=O)N(c1ccc(C(C)(C)C)cc1)C(C(=O)NC1CCCCC1)c1cccnc1,455.6240000000003,4.849000000000005,1.0,4.0
CHEMBL5575681,active,8.0,C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@H](Oc2cc(-c3csc(C(=O)CC)n3)nc3c(C)c(OC)ccc23)CN1C(=O)[C@@H](NC(=O)OC1CCCC1)C(C)(C)C)C(=O)O,775.9250000000001,5.845320000000006,3.0,11.0
CHEMBL5572345,active,7.853871964321762,C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@H](Oc2cc(-c3csc(NC(C)C)n3)nc3c(C(C)C)c(OC)ccc23)CN1C(=O)[C@@H](NC(=O)OC1CCCC1)C(C)(C)C)C(=O)O,805.0109999999999,6.887900000000007,4.0,11.0
CHEMBL1779107,active,9.045757490560675,C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@H](Oc2cc(-c3csc(NC(C)C)n3)nc3cc(OC)ccc23)CN1C(=O)[C@@H](NC(=O)OC1CCCC1)C(C)(C)C)P(=O)(O)O,798.9000000000001,5.815100000000008,5.0,11.0
CHEMBL5897133,active,7.0,C=S(=O)([Na])C(O)C1C[C@@]2(CN1C(=O)[C@H](CC(C)C)N(C)C(=O)c1cc3c(F)cccc3[nH]1)C(=O)Nc1ccccc12,590.6530000000001,2.4029999999999987,3.0,5.0
CHEMBL5851593,active,7.0,C=S(=O)([Na])C(O)C1C[C@@]2(CN1C(=O)[C@H](CC(C)C)NC(=O)c1cc3c(OC)cccc3[nH]1)C(=O)Nc1ccccc12,588.6620000000001,1.9302999999999992,4.0,6.0
CHEMBL5633152,inactive,4.768275616671484,CC(=O)/C=C/C(=O)N(c1ccc(-c2ccccc2)cc1)C(C(=O)N[C@@H](C)c1ccccc1)c1cccnc1,503.6020000000002,5.845500000000006,1.0,4.0
CHEMBL4096388,inactive,3.8034093458826934,CC(=O)/C=C/[C@H](CCc1ccccc1)NC(=O)[C@H](CC(C)C)NC(=O)OCc1ccc([N+](=O)[O-])cc1,495.5760000000003,4.4985000000000035,2.0,6.0
CHEMBL5289700,inactive,4.3260580013659125,CC(=O)/C=C/[C@H](CCc1ccccc1)NC(=O)[C@H](CC1CCCCC1)NC(=O)c1ccc(F)cc1,478.60800000000035,5.157300000000005,2.0,3.0
CHEMBL5172191,inactive,4.410050398674292,CC(=O)Cc1cc(=O)c2c(C)cc(O)c([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c2o1,394.3760000000001,-0.5465800000000003,5.0,9.0
CHEMBL5846900,active,7.0,CC(=O)N(C)[C@@H](CC(C)(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N1C[C@]2(C[C@H]1C#N)C(=O)Nc1ccccc12,523.6780000000003,3.157180000000002,1.0,5.0
CHEMBL5172924,active,6.478861916295964,CC(=O)N(C[C@@H]1CCNC1=O)NC(=O)[C@H](CC(C)C)NC(=O)c1cc2c(F)cccc2[nH]1,445.4950000000001,1.4673000000000003,4.0,4.0
CHEMBL5441950,active,6.100726812682396,CC(=O)N1CC(NC(=O)c2cc3c(N[C@@H](c4ccc5c(c4)OCCO5)C(C)C)ncnc3[nH]2)C1,464.5260000000003,2.4988,3.0,7.0
CHEMBL5426319,active,7.450996737974212,CC(=O)N1CC2(CC2)C[C@H]1C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(=O)COC(F)(F)F,419.40000000000015,0.5038999999999996,2.0,5.0
CHEMBL5441791,active,6.58838029403677,CC(=O)N1CCN(Cc2cccc(-c3cc4c(N[C@@H](c5ccc6c(c5)S(=O)(=O)CCC6)C(C)C)ncnc4[nH]3)c2)CC1,586.7620000000002,4.818100000000004,2.0,7.0
CHEMBL5441903,inactive,4.002176919254275,CC(=O)N1[C@@H]2CC[C@H]1c1c(ncnc1N[C@@H](c1ccc3c(c1)S(=O)(=O)CCC3)C(C)C)C2,454.59600000000034,3.613800000000003,1.0,6.0
CHEMBL5270591,inactive,3.6716203965612624,CC(=O)NCC(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N[C@H](C=O)Cc1c[nH]cn1,375.3890000000001,-1.7773999999999959,5.0,6.0
CHEMBL5287116,inactive,3.3716110699496884,CC(=O)NCC(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N[C@H](C=O)Cc1ccc(O)cc1,401.4230000000002,-0.7948999999999973,5.0,6.0
CHEMBL5291407,inactive,3.703927433640165,CC(=O)NCC(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@H](C=O)Cc1c[nH]cn1,401.4230000000001,-0.7948999999999973,5.0,6.0
CHEMBL5556358,active,6.0,CC(=O)NCCn1cc2cc(Nc3nc(=O)n(Cc4ccc[nH]c4=O)c(=O)n3Cc3cc(F)c(F)c(F)c3)c(Cl)cc2n1,614.9720000000001,2.4899999999999984,3.0,10.0
CHEMBL5085659,active,6.431798275933005,CC(=O)NCc1ccc(-c2cccc([C@@H](C)NC(=O)c3cc(NC4CNC4)ccc3C)c2)s1,462.6190000000002,4.234320000000002,4.0,5.0
CHEMBL5198660,active,6.5968794788241825,CC(=O)NCn1sc2cc(F)ccc2c1=O,240.259,1.2956999999999999,1.0,4.0
CHEMBL5823056,active,6.259637310505756,CC(=O)N[C@@H](C(=O)N[C@@H](CC(C)(C)C)C(=O)N1C[C@]2(C[C@H]1C#N)C(=O)Nc1ccccc12)C(C)C,481.5970000000002,2.0826800000000008,3.0,5.0
CHEMBL5916346,active,7.0,CC(=O)N[C@@H](C)C(=O)N(C)[C@@H](CC(C)(C)C)C(=O)N1C[C@]2(C[C@H]1C#N)C(=O)Nc1ccccc12,467.57000000000016,1.7887800000000018,2.0,5.0
CHEMBL5859654,active,7.0,CC(=O)N[C@@H](CC1CC1)C(=O)N(C)[C@@H](CC(C)(C)C)C(=O)N1C[C@]2(C[C@H]1C#N)C(=O)Nc1ccccc12,507.6350000000003,2.5689800000000007,2.0,5.0
CHEMBL5944197,active,7.0,CC(=O)N[C@@H](CC1CC1)C(=O)N(C)[C@@H](CC(C)C)C(=O)N1C[C@]2(C[C@H]1C#N)C(=O)Nc1ccccc12,493.6080000000003,2.1788800000000004,2.0,5.0
CHEMBL5905342,active,7.0,CC(=O)N[C@@H](CC1CC1)C(=O)N(C)[C@@H](Cc1ccc(F)cc1)C(=O)N1C[C@]2(C[C@H]1C#N)C(=O)Nc1ccccc12,545.6150000000002,2.5145800000000005,2.0,5.0
CHEMBL5918217,active,7.0,CC(=O)N[C@@H](CC1CC1)C(=O)N[C@@H](CC(C)(C)C)C(=O)N1C[C@]2(C[C@H]1C#N)C(=O)Nc1ccccc12,493.6080000000003,2.2267800000000015,3.0,5.0
CHEMBL5176411,inactive,5.0,CC(=O)N[C@@H](CCc1ccc(O)cc1)C(=O)N[C@@H](CN)C(=O)NCC(=O)NC/C=C/C(=O)O,463.49100000000027,-1.8537999999999943,7.0,7.0
CHEMBL5172346,inactive,5.0,CC(=O)N[C@@H](CCc1nc2ccccc2s1)C(=O)N[C@@H](CN)C(=O)NCC(=O)NC/C=C/C(=O)O,504.5690000000003,-0.9496999999999958,6.0,8.0
CHEMBL4875501,inactive,4.1487416512809245,CC(=O)N[C@@H](CO)C(=O)N[C@H](C(=O)N[C@@H](CO)C(=O)N[C@@H](C)C(=O)N[C@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CO)C(=O)NCC(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](Cc1ccccc1)C(N)=O)C(C)C)[C@@H](C)O,1468.68,-8.351729999999966,23.0,21.0
CHEMBL5981587,active,7.0,CC(=O)N[C@@H](Cc1cc(F)c(F)cc1F)C(=O)N(C)[C@@H](CC(C)(C)C)C(=O)N1C[C@]2(C[C@H]1C#N)C(=O)Nc1ccccc12,597.6380000000004,3.4288800000000013,2.0,5.0
CHEMBL5997684,active,7.0,CC(=O)N[C@@H](Cc1ccc(F)cc1)C(=O)N(C)[C@@H](CC(C)(C)C)C(=O)N1C[C@]2(C[C@H]1C#N)C(=O)Nc1ccccc12,561.6580000000004,3.1506800000000004,2.0,5.0
CHEMBL5411271,active,6.258848401148215,CC(=O)N[C@H](C(=O)N1C[C@@H]2CCC[C@@H]2[C@H]1C(=O)N[C@H](C#N)C[C@@H]1CCNC1=O)C1CCCCC1,471.6020000000004,1.2330800000000022,3.0,5.0
CHEMBL5178656,active,7.0,CC(=O)N[C@H](C(=O)N1C[C@H]2[C@@H]([C@H]1C(=O)N[C@H](C#N)C[C@@H]1CCNC1=O)C2(C)C)C(C)(C)C,445.56400000000036,0.5547800000000027,3.0,5.0
CHEMBL5802741,active,6.259637310505756,CC(=O)N[C@H](C(=O)N[C@@H](CC(C)(C)C)C(=O)N1C[C@]2(C[C@H]1C#N)C(=O)Nc1ccccc12)C(C)C,481.5970000000002,2.0826800000000008,3.0,5.0
CHEMBL385315,inactive,4.275724130399211,CC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(=O)N(C)C)C(=O)Cn1[nH]c(=O)c2c([N+](=O)[O-])cccc2c1=O)C(C)O)C(C)C,732.7920000000003,-0.9224999999999934,6.0,12.0
CHEMBL446118,inactive,4.154901959985743,CC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(=O)N(C)C)C(=O)Cn1[nH]c(=O)c2c([N+](=O)[O-])cccc2c1=O)C(C)OCc1ccccc1)C(C)C,822.9170000000001,1.3020000000000063,5.0,12.0
CHEMBL5290841,active,6.221848749616356,CC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(=O)N(C)C)C(=O)Cn1[nH]c(=O)c2c([N+](=O)[O-])cccc2c1=O)[C@@H](C)OCc1ccccc1)C(C)C,822.9170000000001,1.3020000000000063,5.0,12.0
CHEMBL223094,inactive,4.552841968657781,CC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(=O)N(C)C)C(=O)Cn1[nH]c(=O)c2ccccc2c1=O)C(C)O)C(C)C,687.7950000000003,-0.8306999999999936,6.0,10.0
CHEMBL374164,inactive,4.1938200260161125,CC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(=O)N(C)C)C(=O)Cn1[nH]c(=O)c2ccccc2c1=O)C(C)OCc1ccccc1)C(C)C,777.9200000000002,1.3938000000000064,5.0,10.0
CHEMBL373658,active,6.221848749616356,CC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(=O)Cn1[nH]c(=O)c2c([N+](=O)[O-])cccc2c1=O)C(C)OCc1ccccc1)C(C)C,820.9010000000002,0.959800000000006,6.0,12.0
CHEMBL5550069,inactive,3.895512888687605,CC(=O)N[C@H](CC(C)C)C(=O)N[C@H](CC(C)C)C(=O)N[C@H](C=O)CCCN=C(N)N,426.5620000000002,-0.19459999999999578,5.0,5.0
CHEMBL5917741,active,7.0,CC(=O)N[C@H](Cc1cc(F)c(F)cc1F)C(=O)N(C)[C@@H](CC(C)(C)C)C(=O)N1C[C@]2(C[C@H]1C#N)C(=O)Nc1ccccc12,597.6380000000004,3.4288800000000013,2.0,5.0
CHEMBL5441510,active,6.692503962086787,CC(=O)Nc1ccc(-c2cc3c(N[C@@H](c4ccc5c(c4)S(=O)(=O)CCC5)C(C)C)ncnc3[nH]2)cc1F,521.6180000000003,5.251500000000004,3.0,6.0
CHEMBL5441964,inactive,4.002176919254275,CC(=O)Nc1ccc(C(=O)Nc2ncnc3[nH]c(C)c(C)c23)cc1Cl,357.80100000000004,3.4388400000000017,3.0,4.0
CHEMBL551592,inactive,4.958607314841775,CC(=O)Nc1ccc(C)c(C(=O)N[C@H](C)c2cccc3ccccc23)c1,346.43000000000006,4.597620000000003,2.0,2.0
CHEMBL5442109,inactive,4.002176919254275,CC(=O)Nc1ccc(S(=O)(=O)NNc2ncnc3sccc23)cc1,363.4240000000001,1.9550999999999994,3.0,7.0
CHEMBL5441605,inactive,4.837331064744607,CC(=O)Nc1ccc([C@@H](CC(=O)O)NC(=O)c2ncnc3[nH]ccc23)cc1,367.365,1.8620999999999994,4.0,5.0
CHEMBL5441935,inactive,4.684848662295018,CC(=O)Nc1cccc([C@@H](CC(=O)O)NC(=O)c2ncnc3[nH]ccc23)c1,367.365,1.8620999999999994,4.0,5.0
CHEMBL5557749,active,6.0,CC(=O)Nc1nc2cc(Cl)c(Nc3nc(=O)n(Cc4ncn(C)n4)c(=O)n3Cc3cc(F)c(F)c(Cl)c3)cc2s1,608.4180000000002,3.5268000000000015,2.0,12.0
CHEMBL5178276,active,7.318758762624412,CC(=O)Nc1ncnc2c1ncn2[C@@H]1O[C@H](CNS(=O)(=O)c2ccc3ccccc3c2)[C@@H](O)[C@H]1O,498.5210000000002,0.5355999999999987,4.0,10.0
CHEMBL5592606,active,6.221848749616356,CC(=O)OC(C)OC(=O)N1CC(Nc2ccc(C)c(C(=O)N[C@H](C)c3cccc(-c4ccc(CNC(=O)C5CCCC5)s4)c3)c2)C1,646.81,6.162720000000006,3.0,8.0
CHEMBL5206883,inactive,4.75300930075845,CC(=O)OCC1Cc2c(-c3cc(-c4ccccc4)ccn3)cccc2-c2c(O)ccc(-c3ccc(Br)cc3)c21,576.4900000000002,8.420500000000004,1.0,4.0
CHEMBL5177686,inactive,4.988852639224202,CC(=O)OCC1Cc2c(-c3cc(C#N)ccn3)cccc2-c2c(O)ccc(-c3ccc(Br)cc3)c21,525.4020000000002,6.625180000000006,1.0,5.0
CHEMBL5186504,inactive,4.1664704182413566,CC(=O)OCC1Cc2c(-c3cc(C)ccn3)cccc2-c2c(O)ccc(C)c21,373.45200000000017,4.940840000000005,1.0,4.0
CHEMBL5179506,inactive,4.949620243738543,CC(=O)OCC1Cc2c(-c3cc(N4CCCC4)ccn3)cccc2-c2c(O)ccc(-c3ccc(Br)cc3)c21,569.4990000000001,7.353700000000007,1.0,5.0
CHEMBL5209023,inactive,4.921905849593589,CC(=O)OCC1Cc2c(-c3cc4ccccc4cn3)cccc2-c2c(O)ccc(C)c21,409.4850000000002,5.785620000000005,1.0,4.0
CHEMBL5208242,inactive,4.732828271596986,CC(=O)OCC1Cc2c(-c3ccc(Br)cn3)cccc2-c2c(O)ccc(C)c21,438.3210000000002,5.394920000000004,1.0,4.0
CHEMBL5174450,inactive,4.44648105985103,CC(=O)OCC1Cc2c(-c3ccc(Cl)cn3)cccc2-c2c(O)ccc(C)c21,393.8700000000002,5.285820000000005,1.0,4.0
CHEMBL5193737,inactive,4.175223537524454,CC(=O)OCC1Cc2c(-c3ccc(F)cn3)cccc2-c2c(O)ccc(C)c21,377.4150000000002,4.771520000000005,1.0,4.0
CHEMBL5207257,inactive,4.85949195696182,CC(=O)OCC1Cc2c(-c3ccc4ccccc4n3)cccc2-c2c(O)ccc(C)c21,409.4850000000002,5.785620000000005,1.0,4.0
CHEMBL5185504,inactive,4.239050048589102,CC(=O)OCC1Cc2c(-c3ccccn3)cc(C)cc2-c2c(O)ccc(C)c21,373.45200000000017,4.940840000000005,1.0,4.0
CHEMBL5178260,inactive,4.0,CC(=O)OCC1Cc2c(-c3ccccn3)ccc(Br)c2-c2c(O)ccc(C)c21,438.3210000000002,5.394920000000005,1.0,4.0
CHEMBL5170998,inactive,4.0,CC(=O)OCC1Cc2c(-c3ccccn3)ccc(C)c2-c2c(O)ccc(C)c21,373.45200000000017,4.940840000000005,1.0,4.0
CHEMBL5205858,inactive,4.067627717852086,CC(=O)OCC1Cc2c(-c3ccccn3)ccc(Cl)c2-c2c(O)ccc(C)c21,393.8700000000002,5.285820000000005,1.0,4.0
CHEMBL5205597,inactive,4.0,CC(=O)OCC1Cc2c(-c3ccccn3)ccc(F)c2-c2c(O)ccc(C)c21,377.4150000000002,4.771520000000005,1.0,4.0
CHEMBL5175215,inactive,4.713992877920526,CC(=O)OCC1Cc2c(-c3ccccn3)cccc2-c2c(O)ccc(-c3ccc(C#N)cc3)c21,446.50600000000026,5.862680000000005,1.0,5.0
CHEMBL5206974,inactive,4.5307672574933875,CC(=O)OCC1Cc2c(-c3ccccn3)cccc2-c2c(O)ccc(C(C)C)c21,387.4790000000002,5.447400000000005,1.0,4.0
CHEMBL5200032,inactive,4.213603538627695,CC(=O)OCC1Cc2c(-c3ccccn3)cccc2-c2c(O)ccc(C)c21,359.4250000000002,4.632420000000004,1.0,4.0
CHEMBL5200309,inactive,4.9434762759209,CC(=O)OCC1Cc2c(-c3ccccn3)cccc2-c2c(O)ccc(Cc3ccccc3)c21,435.52300000000025,5.914800000000006,1.0,4.0
CHEMBL5170377,inactive,4.0,CC(=O)OCC1Cc2c(-c3ccncn3)cccc2-c2c(O)ccc(C)c21,360.4130000000002,4.027420000000004,1.0,5.0
CHEMBL5204406,inactive,4.229810977264007,CC(=O)OCC1Cc2c(-c3ncccc3C)cccc2-c2c(O)ccc(C)c21,373.45200000000017,4.940840000000005,1.0,4.0
